Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us)
1,12566427,4293732,3378
2,8531036,3804554,368
3,7448536,3778817,401
4,6483171,3526296,469
5,5638883,3649325,523
6,4625235,3345297,684
7,4126770,3218683,632
8,2990789,3165139,623
9,2750581,3031413,486
10,2867612,3155773,515
11,2637897,3101960,508
12,2199760,3031789,307
13,1973521,3156958,279
14,1766626,3057677,293
15,1853748,3034791,387
16,1724101,3081072,456
17,1834158,2998708,321
18,1699806,2978647,376
19,2166449,3369864,228
20,1975294,3003068,353
21,1772510,2930120,348
22,1591700,3013163,431
23,1695565,2916019,696
24,1461236,2932618,448
25,1411279,2858711,481
26,1401495,2973579,445
27,1309703,2976286,544
28,1411569,3097840,379
