Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us),First Map Time (us),First Shuffle Time (us),First Reduce Time (us),Second Map Time (us),Second Shuffle Time (us),Second Reduce Time (us)
1,12210124,4315052,3489,7707011,1602817,1118115,827835,160526,2560653
2,8396399,3838105,355,4472029,1085254,838009,797968,255344,2288752
3,7212702,3706422,445,3223295,921566,624280,883081,296084,2482428
4,6056610,3686832,423,2389993,937709,514801,837704,290436,2314539
5,5960803,3536623,554,2123317,755924,476895,820344,295248,2540806
6,4313703,3336692,764,1757787,666204,421539,801291,212694,1333856
7,4112663,3313573,646,1609994,691327,394278,900089,202648,1208952
8,3354531,3191436,549,1129224,573699,309990,740722,196067,1175148
9,2932408,3097696,678,1013581,543280,292156,756564,175514,870788
10,2727638,3198930,355,1231109,630112,245206,646195,182092,605486
11,2640814,3144858,302,1208232,609481,241040,686307,181508,505540
12,2423702,3087082,264,1145064,580272,221956,609450,157738,447501
13,2345646,3069218,265,1059287,545498,203616,625837,157734,457177
14,2237628,3188895,273,1029523,589827,186307,583851,156591,438223
15,2032223,3089432,290,961125,535633,182012,540596,185053,348785
16,1819222,3086800,351,850017,527788,228602,555128,161076,185830
17,1666412,3027581,303,828182,490235,167603,538115,173393,132819
18,1647706,3120134,295,792170,548582,161218,536544,187428,158073
19,2271023,3409066,361,1377147,871714,133677,547299,181182,213265
20,1969821,3079671,367,1182339,563272,133129,476438,164791,178284
21,1583353,3016558,384,905650,497933,142811,468039,163327,67241
22,1499116,3080731,335,858608,568386,125820,446825,173601,68203
23,1479559,2955300,536,845284,461340,140895,417429,167135,76492
24,1425897,2924505,453,789033,384472,145211,417241,196648,74868
25,1375310,2937725,352,723157,415803,156506,422352,183221,73651
26,1416132,2996458,481,752593,524722,135274,458285,158434,70464
27,1380713,3080616,389,718806,569684,132696,457842,164786,71762
28,1299167,3093077,408,668948,542812,129502,424303,161410,76826
